,id,Date Created,Tweet,location,type_incident,Tweet_sentiment
0,1556011346768052224,2022-08-06 20:16:29,"All hands transmitted, fire in a private dwelling.",Bronx | 687 E 224th St.,fires,0
1,1555981563246026752,2022-08-06 18:18:08,"All hands transmitted, fire in a multiple dwelling.",Bronx | 643 Cauldwell Ave.,fires,0
2,1555981447437160448,2022-08-06 18:17:40,"All hands transmitted, fire in a store.",Bronx | 1000 Morris Ave.,fires,0
3,1555951202730496002,2022-08-06 16:17:29,Confirmed abduction. Suspect fled in a white Volkswagen SUV w/ NY license plate KUG2020.,Brooklyn | 1540 E 102nd St.,crime,3
4,1555909391848710146,2022-08-06 13:31:21,"Confirmed two jumpers down, both DOA.",Bronx | 720 Pelham Pkwy S.,accident,2
5,1555765337253187584,2022-08-06 03:58:55,"Confirmed police-involved shooting, one suspect is likely.",Queens | 219th St and 130th Ave.,robbery,1
6,1555735792022069248,2022-08-06 02:01:31,"All hands transmitted, fire in a multiple dwelling.",Manhattan | 202 W 24th St.,fires,0
7,1555675929082576896,2022-08-05 22:03:39,Confirmed female shot at the location.,Bronx | E 185th St and Southern Blvd.,crime,3
8,1555627622725451777,2022-08-05 18:51:42,"All hands transmitted, fire in a multiple dwelling.",Manhattan | 191V W 151st St.,fires,0
9,1555558470090428416,2022-08-05 14:16:54,"All hands transmitted, fire in a multiple dwelling.",Manhattan | 180 E 88th St.,fires,0
10,1555526352505376769,2022-08-05 12:09:17,"Confirmed male shot, aided not likely.",Queens | Astoria Blvd and 8th St.,crime,3
11,1555380541553262593,2022-08-05 02:29:53,"Confirmed male shot in the head and shoulder, aided is likely.",Brooklyn | 1752 Shore Pkwy.,crime,3
12,1555339940090757120,2022-08-04 23:48:33,Confirmed shots fired at the location.,Brooklyn | 213 Utica Ave.,crime,3
13,1555291343127252992,2022-08-04 20:35:26,"Confirmed knifepoint robbery. S-1 is a m/h wearing a black shirt, blue j… https://t.co/avIKyLf2Ki",Manhattan | W 110th St and Morningside Dr.,fires,0
14,1555243890202099713,2022-08-04 17:26:53,Confirmed shots fired at the location.,Queens | 45th St and 48th Ave.,crime,3
15,1555227018714906627,2022-08-04 16:19:50,"Confirmed bank robbery. Suspect is a m/w wearing black sunglasses, black shirt, blue jeans.",Brooklyn | 2520 E 17th St.,fires,0
16,1555210988798222342,2022-08-04 15:16:08,Confirmed pedestrian struck w/ serious injuries. Highway CIS requested.,Brooklyn | Morgan Ave and Meadow St.,accident,2
17,1555201811484758016,2022-08-04 14:39:40,"Confirmed bank robbery at TD Bank. Suspect is a m/b, 5’7” tall w/ a slim build, wearing… https://t.co/zZZCnEBKBu",Bronx | 500 Baychester Ave.,fires,0
18,1555175467531075584,2022-08-04 12:54:59,PD o/s of a bus accident w/ multiple injuries. One aided w/ serious injuries.,Bronx | Boston Rd and W Farms Rd.,accident,2
19,1555044608140349440,2022-08-04 04:15:00,"2nd alarm transmitted, fire in a private dwelling.",Bronx | 1329 Morris Ave.,fires,0
20,1555012631446142978,2022-08-04 02:07:56,"All hands transmitted, fire in the basement of a private dwelling.",Queens | 111-24 140th St.,fires,0
21,1554967925978808320,2022-08-03 23:10:18,"Confirmed 2 males shot, both not likely.",Brooklyn | Fulton St and Bedford Ave.,crime,3
22,1554940760205758465,2022-08-03 21:22:21,"Confirmed male shot, aided not likely.",Queens | 2-06 Astoria Blvd.,crime,3
23,1554920933198110721,2022-08-03 20:03:34,"All hands transmitted, fire in a private dwelling.",Brooklyn | 653 Euclid Ave.,fires,0
24,1554865939224698880,2022-08-03 16:25:02,"Confirmed commercial robbery at gunpoint. Suspect is a m/b in his 60s, 5’6” tall, w… https://t.co/CYzrVo7wiz",Manhattan | 1629 Lexington Ave.,fires,0
25,1554864559164383233,2022-08-03 16:19:33,"Confirmed male shot in the head, aided is likely.",Brooklyn | 511 Thatford Ave.,crime,3
26,1554831438029041664,2022-08-03 14:07:56,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 1227 46th St.,fires,0
27,1554632124405366792,2022-08-03 00:55:56,"Confirmed male shot, aided not likely.",Bronx | 305 E 166th St.,crime,3
28,1554581994801168390,2022-08-02 21:36:44,"Confirmed female w/ a graze wound to the head, aided not likely.",Brooklyn | 180 Powell St.,fires,0
29,1554530342555422721,2022-08-02 18:11:30,Confirmed shots fired at the location.,Brooklyn | 3423 Farragut Rd.,crime,3
30,1554280159238393856,2022-08-02 01:37:21,"Confirmed male shot in the face, aided not likely.",Queens | 69-43 Hillmeyer Ave.,crime,3
31,1554263325827108865,2022-08-02 00:30:28,Confirmed shots fired at the location.,Brooklyn | 2800 86th St.,crime,3
32,1554250554041421824,2022-08-01 23:39:43,"All hands transmitted, fire in a commercial.",Queens | 220-21 Jamaica Ave.,fires,0
33,1554243415667363842,2022-08-01 23:11:21,Confirmed male shot at the location.,Brooklyn | 1531 Fulton St.,crime,3
34,1554228606175531008,2022-08-01 22:12:30,"All hands transmitted, fire in a vacant private dwelling.",Queens | 172-45 127th Ave.,fires,0
35,1554216550814683137,2022-08-01 21:24:36,"All hands transmitted, fire in a multiple dwelling.",Queens | 25-26 42nd St.,fires,0
36,1554188038179328002,2022-08-01 19:31:18,Pedestrian struck w/ serious injuries. Highway CIS requested for the confirmed job.,Queens | 26th Ave and Corporal Kennedy St.,accident,2
37,1554173603469561857,2022-08-01 18:33:56,Confirmed shots fired at the location.,Manhattan | 421 E 106th St.,crime,3
38,1554173288682856453,2022-08-01 18:32:41,"Confirmed gunpoint robbery. Suspect is a m/b, 5’5” tall, wearing a baseball cap.",Manhattan | 2109 1st Ave.,fires,0
39,1554165322197999616,2022-08-01 18:01:02,"All hands transmitted, fire in apt 10F.",Manhattan | 174 Delancey St.,fires,0
40,1554125835128422404,2022-08-01 15:24:08,Confirmed person shot at the location.,Queens | 109th Ave and Lefferts Blvd.,crime,3
41,1554124618864140289,2022-08-01 15:19:18,"All hands transmitted, fire in a private dwelling.",Brooklyn | 1913 Strauss St.,fires,0
42,1554084506507923457,2022-08-01 12:39:54,"All hands transmitted, fire in a multiple dwelling.",Bronx | 1466 Townsend Ave.,fires,0
43,1553932189573726210,2022-08-01 02:34:39,"Confirmed male shot in the leg, aided not likely.",Brooklyn | 2930 W 30th St.,crime,3
44,1553924606557290496,2022-08-01 02:04:31,Confirmed male shot at the location.,Queens | 40-07 10th St.,crime,3
45,1553917122455158784,2022-08-01 01:34:47,Pedestrian struck w/ serious injuries. Highway CIS requested for the confirmed job.,Queens | 71st Ave and Metropolitan Ave.,accident,2
46,1558550806210744325,2022-08-13 20:27:23,"Confirmed shots fired. Suspect is a male wearing a mask, black hoodie, purple shorts… https://t.co/BvmDbc4V8I",Manhattan | 242 Bradhurst Ave.,crime,3
47,1558546159928475652,2022-08-13 20:08:55,Possible abduction at the location. Suspect fled w/b on New Lots Ave… https://t.co/bCkqRleLy6,Brooklyn | New Lots Ave and Van Sinderen Ave.,crime,3
48,1558487067792900096,2022-08-13 16:14:06,"All hands transmitted, multiple wires on fire.",Brooklyn | 728 E New York Ave.,fires,0
49,1558478361848078336,2022-08-13 15:39:31,Confirmed gunpoint robbery. S-1 is a m/b wearing a gray sweatsuit. S-2 is a m/b wearing a b… https://t.co/r8kZPAoGyx,Bronx | 3313 Conner St.,fires,0
50,1558424618867867649,2022-08-13 12:05:57,Confirmed assault. Three male suspects and two female suspects fled w/b on Arverne Blvd.,Queens | Beach 54th St and Arverne Blvd.,crime,3
51,1558269626081050625,2022-08-13 01:50:04,"Confirmed male shot in the leg, aided not likely.",Bronx | 1068 Gerard Ave.,crime,3
52,1558269259247124480,2022-08-13 01:48:37,"Confirmed shots fired. Suspect is a m/b, 6’0” tall, wearing a white shirt, dark-colored pants.",Manhattan | 7th Ave S and W 4th St.,crime,3
53,1558264688634482689,2022-08-13 01:30:27,Confirmed person shot at the location.,Brooklyn | 3405 Newkirk Ave.,crime,3
54,1558253181972406272,2022-08-13 00:44:44,"Confirmed male stabbed, aided not likely.",Brooklyn | 565 Flatbush Ave.,crime,3
55,1558251068139741190,2022-08-13 00:36:20,"All hands transmitted, fire in a store.",Brooklyn | 505 Dekalb Ave.,fires,0
56,1558250834663702528,2022-08-13 00:35:24,"All hands transmitted, fire in a private dwelling.",Staten Island | 77 Gary Ct.,fires,0
57,1558234283508203521,2022-08-12 23:29:38,Confirmed robbery w/ a knife and possible firearm displayed. Suspect fle… https://t.co/IDDraYO9tJ,Brooklyn | 50th St and Fort Hamilton Pkwy.,fires,0
58,1558217055119327235,2022-08-12 22:21:10,"Confirmed male shot, aided not likely.",Brooklyn | Thatford Ave and Newport St.,crime,3
59,1558195074386853889,2022-08-12 20:53:50,"All hands transmitted, fire in a commercial.",Brooklyn | 4711 4th Ave.,fires,0
60,1558164388040802307,2022-08-12 18:51:54,"Confirmed gunpoint robbery. Two m/b suspects, 6’3 tall, wearing all black clothing, fled n… https://t.co/FxQELZJ7pd",Bronx | 665 Thwaites Pl.,robbery,1
61,1558112949276909569,2022-08-12 15:27:30,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 681 E 83rd St.,fires,0
62,1558106727345692672,2022-08-12 15:02:46,"All hands transmitted, fire in a private dwelling.",Queens | 13-59 Eggert Pl.,fires,0
